,0,1,2,3,4,5,6,7,8,9,10,11
172,1615248000000,13.6340,15.0412,13.3305,14.8650,129977.70000000,1615334399999,1858667.1401,4108,70999.85000000,1020195.1656,0
173,1615334400000,14.8650,15.2282,14.0444,14.2005,186354.38000000,1615420799999,2731451.3023,3682,98821.74000000,1454851.8885,0
174,1615420800000,14.2005,16.3356,13.6770,16.0349,245607.96000000,1615507199999,3763574.1725,4766,104012.50000000,1594454.8687,0
175,1615507200000,16.0794,16.5069,14.0900,14.5500,269579.43000000,1615593599999,4135087.2344,4645,117728.51000000,1806088.0834,0
176,1615593600000,14.5688,15.4000,13.8990,15.2881,158936.27000000,1615679999999,2331027.8034,3119,77079.52000000,1134415.5924,0
177,1615680000000,15.2837,15.3598,14.3681,14.4486,85578.09000000,1615766399999,1264421.3222,1946,35662.17000000,527520.7263,0
178,1615766400000,14.4852,14.8047,13.6689,14.1559,100422.35000000,1615852799999,1430091.4665,2159,37218.51000000,530999.3787,0
179,1615852800000,14.2000,14.2759,13.2425,13.6043,91146.68000000,1615939199999,1246324.5185,2086,40128.08000000,548074.4661,0
180,1615939200000,13.7013,14.2766,13.0816,14.2233,70724.87000000,1616025599999,969670.0474,2042,36386.54000000,497832.7294,0
181,1616025600000,14.2475,14.7797,13.9830,14.1909,98043.61000000,1616111999999,1404370.9099,2262,53241.38000000,762809.0614,0
182,1616112000000,14.2215,14.4873,13.8500,14.1132,57213.62000000,1616198399999,811832.9983,1375,22642.82000000,322241.2384,0
183,1616198400000,14.1379,14.9654,14.1059,14.1554,64523.77000000,1616284799999,939169.3559,1833,35434.49000000,516955.3340,0
184,1616284800000,14.1555,14.3663,13.6376,14.3388,59754.78000000,1616371199999,840428.5094,1322,30327.56000000,427303.4413,0
185,1616371200000,14.3388,16.7611,14.1706,14.8300,458035.87000000,1616457599999,7185794.1449,8978,207963.49000000,3273524.5664,0
186,1616457600000,14.8300,15.2214,14.0412,14.1918,112861.06000000,1616543999999,1644991.2019,2512,47566.15000000,696393.5345,0
